MS Zoning,Street,Land Contour,Neighborhood,Bldg Type,House Style,Overall Qual,Year Built,Year Remod/Add,Foundation,1st Flr SF,Gr Liv Area,Kitchen Qual,Garage Cars,SalePrice
FV,Pave,Lvl,Somerst,1Fam,2Story,7,2000,2000,PConc,814,1674,Gd,2,216000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1970,1970,CBlock,1004,1004,TA,2,149000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1971,2008,CBlock,1078,1078,TA,2,149900
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1968,1968,CBlock,1056,1056,TA,1,142000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1970,1970,CBlock,882,882,TA,2,126000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1971,1971,CBlock,864,864,TA,0,115000
RH,Pave,Lvl,NAmes,TwnhsE,1Story,7,1999,1999,PConc,1337,1337,Gd,2,184000
RM,Pave,Lvl,BrDale,Twnhs,2Story,6,1971,1971,CBlock,483,987,TA,1,96000
RM,Pave,Lvl,BrDale,Twnhs,2Story,5,1971,1971,CBlock,525,1092,TA,1,105500
RM,Pave,Lvl,BrDale,Twnhs,2Story,6,1971,1971,CBlock,525,1092,TA,1,88000
RL,Pave,Lvl,NPkVill,TwnhsE,1Story,6,1977,1977,CBlock,1069,1069,TA,2,127500
RL,Pave,Lvl,NPkVill,Twnhs,2Story,6,1975,1975,CBlock,855,1456,Gd,2,149900
RL,Pave,Lvl,NPkVill,Twnhs,1Story,7,1975,1975,CBlock,836,836,TA,1,120000
RL,Pave,Lvl,NPkVill,Twnhs,2Story,6,1978,1978,CBlock,855,1456,TA,2,146000
RL,Pave,Lvl,NridgHt,1Fam,2Story,9,2009,2010,PConc,1627,2334,Ex,3,376162
RL,Pave,Lvl,NridgHt,1Fam,1Story,8,2007,2008,PConc,1704,1704,Gd,3,306000
RL,Pave,Lvl,NridgHt,1Fam,1Story,9,2009,2010,PConc,1940,1940,Ex,3,395192
RL,Pave,Lvl,NridgHt,1Fam,1Story,8,2009,2010,PConc,1544,1544,Gd,3,290941
RL,Pave,Lvl,NridgHt,1Fam,1Story,7,2005,2005,PConc,1541,1541,Gd,2,220000
RL,Pave,Lvl,NridgHt,1Fam,1Story,9,2005,2005,PConc,1698,1698,Ex,3,275000
RL,Pave,Lvl,NridgHt,1Fam,1Story,8,2005,2006,PConc,1822,1822,Ex,3,259000
RL,Pave,Lvl,NridgHt,1Fam,1Story,7,2004,2004,PConc,1535,1535,Gd,2,214000
RL,Pave,Lvl,NridgHt,1Fam,1Story,9,2009,2010,PConc,2364,2364,Ex,3,611657
RL,Pave,Lvl,NridgHt,TwnhsE,1Story,7,2009,2010,PConc,1358,1358,Gd,2,224000
RL,Pave,HLS,NridgHt,1Fam,1Story,9,2003,2004,PConc,2696,2696,Ex,3,500000
RL,Pave,Lvl,NridgHt,1Fam,2Story,8,2002,2002,PConc,1687,2250,Gd,3,320000
RL,Pave,Lvl,NridgHt,TwnhsE,1Story,9,2005,2005,PConc,1752,1752,Ex,2,319900
RL,Pave,Lvl,NridgHt,TwnhsE,1Story,8,2006,2006,PConc,1370,1370,Gd,2,205000
RL,Pave,Lvl,NridgHt,Twnhs,2Story,7,2003,2003,PConc,764,1626,Gd,2,175500
RL,Pave,Lvl,Gilbert,1Fam,1Story,6,2005,2005,PConc,1324,1324,Gd,2,199500
RL,Pave,Lvl,Blmngtn,TwnhsE,1Story,7,2006,2006,PConc,1145,1145,Gd,2,160000
RL,Pave,Lvl,Blmngtn,TwnhsE,1Story,8,2004,2005,PConc,1269,1269,Gd,2,192000
RL,Pave,Lvl,Gilbert,1Fam,SLvl,7,2004,2004,PConc,744,1374,Gd,2,184500
RL,Pave,Lvl,Gilbert,1Fam,2Story,6,2002,2002,PConc,860,1960,Gd,2,216500
RL,Pave,Lvl,Gilbert,1Fam,2Story,7,2004,2004,PConc,847,1733,Gd,2,185088
RL,Pave,Lvl,Gilbert,1Fam,SLvl,7,2000,2000,PConc,774,1430,TA,2,180000
RL,Pave,Lvl,Gilbert,1Fam,2Story,7,2001,2001,PConc,884,2035,Gd,2,222500
RL,Pave,Lvl,NoRidge,1Fam,2Story,9,1999,1999,PConc,1422,2599,Gd,3,333168
RL,Pave,Lvl,NoRidge,1Fam,2Story,8,1998,1998,PConc,1645,2475,Gd,3,355000
RL,Pave,Lvl,NoRidge,1Fam,1Story,7,1996,1996,PConc,1720,1720,Gd,2,260400
RL,Pave,Lvl,NoRidge,1Fam,2Story,8,1994,1995,PConc,1500,2622,Gd,2,325000
RL,Pave,Lvl,NoRidge,1Fam,2Story,8,1999,2007,PConc,1164,2270,Gd,3,290000
RL,Pave,Lvl,NoRidge,1Fam,2Story,7,1998,1998,PConc,1195,1839,TA,2,221000
RL,Pave,Lvl,NoRidge,1Fam,1.5Fin,8,1995,1996,PConc,2053,3238,Gd,3,410000
RL,Pave,Lvl,Somerst,1Fam,1Story,8,2005,2006,PConc,1595,1595,Gd,3,221500
FV,Pave,Lvl,Somerst,1Fam,1Story,7,2009,2010,PConc,1218,1218,Gd,2,204500
FV,Pave,Lvl,Somerst,1Fam,2Story,7,2009,2009,PConc,764,1547,Gd,2,215200
FV,Pave,Lvl,Somerst,1Fam,1Story,8,2008,2008,PConc,1566,1566,Gd,2,262500
FV,Pave,Lvl,Somerst,1Fam,2Story,7,2004,2005,PConc,991,1947,Gd,2,254900
FV,Pave,Lvl,Somerst,1Fam,1Story,6,2005,2005,PConc,1468,1468,Gd,2,271500
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,2004,2004,PConc,956,2084,Gd,2,233000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,2004,2004,PConc,831,1659,Gd,2,181000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1994,2002,PConc,1222,2110,Gd,2,205000
RL,Pave,Lvl,SawyerW,TwnhsE,1Story,6,1980,1980,CBlock,923,923,TA,1,143000
RL,Pave,Lvl,SawyerW,1Fam,2Story,6,1992,1992,PConc,1055,1845,Gd,2,189000
RL,Pave,Lvl,SawyerW,TwnhsE,1Story,6,1979,1979,CBlock,918,918,TA,1,99500
RL,Pave,Lvl,SawyerW,TwnhsE,1Story,6,1984,1984,CBlock,752,752,TA,1,125000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1993,2003,PConc,1014,1744,Gd,2,194500
RL,Pave,Lvl,SawyerW,1Fam,1Story,6,1984,1985,PConc,1097,1097,TA,2,152000
RL,Pave,Lvl,SawyerW,1Fam,2Story,6,1980,1981,CBlock,888,1564,TA,2,171000
RH,Pave,Lvl,SawyerW,1Fam,1Story,5,1920,1950,BrkTil,1012,1012,TA,1,67500
RM,Pave,Lvl,Sawyer,Duplex,1.5Fin,6,1978,1978,Slab,1318,1902,TA,2,112000
RL,Pave,Lvl,Sawyer,1Fam,SFoyer,5,1961,1995,CBlock,1155,1155,Gd,2,148000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1965,2009,CBlock,894,894,TA,1,138500
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1967,1967,CBlock,900,900,TA,1,122000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1963,1963,CBlock,1040,1040,TA,1,133000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1962,2010,CBlock,1040,1040,TA,1,127000
RL,Pave,Lvl,Sawyer,1Fam,1Story,6,1974,2002,CBlock,1494,1494,TA,2,169000
RL,Pave,Lvl,NoRidge,1Fam,2Story,7,1992,1992,PConc,1061,1923,Gd,2,190000
RL,Pave,Lvl,NoRidge,1Fam,2Story,8,1993,1993,PConc,1251,2349,Gd,3,362500
RL,Pave,Lvl,NoRidge,1Fam,2Story,8,1992,1993,PConc,1402,2225,Gd,3,285000
FV,Pave,Lvl,Somerst,TwnhsE,1Story,7,2004,2005,PConc,1488,1488,Gd,2,260000
FV,Pave,Lvl,Somerst,TwnhsE,2Story,7,2004,2004,PConc,840,1680,Gd,2,190000
FV,Pave,Lvl,Somerst,TwnhsE,2Story,7,2004,2004,PConc,600,1200,Gd,2,155000
FV,Pave,Lvl,Somerst,TwnhsE,2Story,7,2004,2005,PConc,600,1200,Gd,2,151000
FV,Pave,Lvl,Somerst,Twnhs,2Story,7,2004,2005,PConc,600,1200,Gd,2,149500
FV,Pave,Lvl,Somerst,Twnhs,2Story,6,2005,2005,PConc,600,1236,Gd,2,152000
FV,Pave,Lvl,Somerst,1Fam,1Story,7,2009,2009,PConc,1478,1478,Gd,2,222000
FV,Pave,Lvl,Somerst,Twnhs,2Story,6,2000,2000,PConc,769,1573,Gd,2,177500
FV,Pave,Lvl,Somerst,TwnhsE,2Story,6,2000,2000,PConc,756,1512,Gd,2,177000
FV,Pave,Lvl,Somerst,Twnhs,2Story,7,1999,1999,PConc,696,1416,Gd,2,155000
FV,Pave,Lvl,Somerst,TwnhsE,2Story,7,2003,2003,PConc,530,1080,Gd,2,147110
FV,Pave,Lvl,Somerst,1Fam,1Story,8,2010,2010,PConc,1418,1418,Gd,3,267916
FV,Pave,Lvl,Somerst,1Fam,2Story,8,2000,2000,PConc,975,1848,Gd,2,254000
RL,Pave,Lvl,Greens,TwnhsE,1Story,8,1980,1980,CBlock,788,788,Gd,2,155000
RL,Pave,Lvl,Greens,Twnhs,1Story,8,1978,1978,CBlock,1226,1226,Gd,2,206000
RL,Pave,Lvl,Sawyer,1Fam,2Story,6,1976,2005,CBlock,725,1479,Gd,2,130500
FV,Pave,Lvl,Somerst,1Fam,1Story,7,2002,2002,PConc,1492,1492,Gd,2,230000
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1967,1967,CBlock,1829,1829,TA,2,218500
RL,Pave,Lvl,NWAmes,1Fam,2Story,6,1993,1993,PConc,1280,2495,Gd,2,243500
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1977,2001,PConc,1610,1610,Gd,2,205000
RL,Pave,Lvl,NWAmes,1Fam,1.5Fin,6,1978,1978,PConc,1287,1891,TA,2,212500
RL,Pave,Lvl,NWAmes,1Fam,2Story,7,1988,1988,CBlock,980,1714,TA,2,196500
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1972,2006,CBlock,1381,1381,Gd,2,197500
RL,Pave,Lvl,NWAmes,1Fam,2Story,6,1971,1971,CBlock,930,1645,TA,2,171000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1966,1966,CBlock,1232,1232,TA,2,142250
RL,Pave,Lvl,NWAmes,1Fam,1Story,6,1963,1963,CBlock,1328,1328,TA,2,143000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1959,1959,CBlock,1225,1225,TA,0,128950
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1966,1966,PConc,1209,1209,TA,2,159000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1967,1967,CBlock,1510,1510,Gd,2,178900
RL,Pave,Lvl,NAmes,1Fam,SLvl,6,1964,1964,CBlock,1131,1775,TA,2,136300
RL,Pave,Lvl,NAmes,1Fam,SLvl,5,1964,1964,PConc,1152,1152,TA,2,180500
RL,Pave,Lvl,NAmes,1Fam,SFoyer,6,1963,1963,PConc,1054,1054,Gd,2,137500
RL,Pave,Lvl,NAmes,Duplex,1Story,5,1962,2001,CBlock,1728,1728,TA,0,84900
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1950,1996,CBlock,1078,1078,Gd,1,142125
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,5,1952,2002,CBlock,1929,2461,TA,2,197600
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,6,1949,1950,CBlock,1019,1556,TA,2,172500
RL,Pave,Lvl,BrkSide,1Fam,1Story,5,1958,2008,CBlock,858,858,TA,0,116500
RL,Pave,Lvl,BrkSide,1Fam,1Story,3,1940,1966,CBlock,1306,1306,Fa,0,76500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1954,1954,CBlock,1063,1063,TA,1,128000
RL,Pave,Lvl,NAmes,1Fam,SLvl,6,1955,1972,CBlock,1520,1520,TA,1,153000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1954,1954,PConc,1268,1268,TA,1,132000
RL,Pave,Lvl,NAmes,1Fam,SFoyer,6,1966,2008,CBlock,1128,1128,Gd,1,178000
RL,Pave,Lvl,NAmes,Duplex,2Story,5,1960,1960,CBlock,1105,2274,TA,2,154300
RL,Pave,Lvl,NAmes,1Fam,1Story,7,1970,1989,CBlock,2207,2207,TA,2,180000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1966,2002,CBlock,1888,1888,Gd,2,190000
RL,Pave,Lvl,NAmes,Duplex,1Story,5,1958,1958,CBlock,1604,1604,TA,2,135000
RL,Pave,Lvl,NAmes,1Fam,1Story,7,2003,2009,PConc,1480,1480,Gd,2,214000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1959,CBlock,1143,1143,TA,1,136000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1959,CBlock,1700,1700,Gd,2,165500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1957,1957,CBlock,1314,1314,TA,1,145000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1959,1959,CBlock,1194,1194,TA,1,148000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1959,CBlock,1188,1188,TA,2,142000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1960,1960,CBlock,1264,1264,TA,2,167500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1959,CBlock,1206,1206,TA,1,108538
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1959,1959,CBlock,1580,1580,TA,2,159500
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,4,1956,1956,CBlock,832,1337,TA,1,108000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1952,1952,CBlock,1064,1064,Fa,1,135000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1955,1955,CBlock,972,972,TA,1,122500
RL,Pave,Lvl,NAmes,2fmCon,1Story,5,1958,1958,CBlock,988,988,TA,1,119000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1953,2007,CBlock,1057,1057,Gd,1,109000
RL,Pave,Lvl,NAmes,1Fam,1Story,4,1920,1994,BrkTil,985,985,TA,2,105000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1955,2007,Slab,827,827,TA,1,107500
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1954,2003,CBlock,1086,1086,TA,2,144900
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1956,2000,CBlock,936,936,TA,1,129000
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,6,1948,1950,CBlock,912,1458,TA,1,97500
RL,Pave,Lvl,OldTown,Duplex,SFoyer,6,1980,1980,CBlock,1056,1056,TA,2,144000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,2006,CBlock,1287,1287,Gd,2,162000
RL,Pave,Lvl,NAmes,1Fam,SLvl,7,1967,2007,CBlock,1898,2978,Gd,2,242000
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,6,1948,2004,CBlock,816,1224,TA,1,132000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1959,1994,CBlock,1246,1246,Gd,1,154000
RL,Pave,Lvl,NAmes,1Fam,1.5Fin,5,1952,1952,CBlock,910,1385,TA,2,166000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1951,2000,CBlock,900,900,Gd,2,134800
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1962,1962,CBlock,1116,1116,TA,2,160000
RL,Pave,Lvl,NAmes,1Fam,1Story,5,1960,1960,CBlock,1175,1175,TA,2,148000
RL,Pave,Lvl,NAmes,1Fam,1Story,6,1963,1984,CBlock,1395,1395,TA,2,192000
RL,Pave,Lvl,NAmes,1Fam,2Story,6,1966,1966,CBlock,1051,1839,TA,2,155000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,4,1900,1954,PConc,1157,1844,TA,1,80400
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,4,1910,2004,BrkTil,792,1140,TA,0,96500
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1920,1950,PConc,936,936,TA,0,109500
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1927,1950,CBlock,1028,1028,TA,2,115000
RM,Pave,Bnk,OldTown,1Fam,1Story,5,1957,1957,CBlock,1347,1347,Gd,2,143000
RM,Pave,Lvl,OldTown,1Fam,2Story,3,1915,1950,CBlock,840,1605,TA,1,107400
RM,Pave,Lvl,OldTown,1Fam,1Story,4,1945,1950,CBlock,747,747,TA,1,80000
RM,Pave,Lvl,OldTown,1Fam,1Story,5,1940,1992,CBlock,804,804,Gd,1,119000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1929,2001,BrkTil,926,1316,TA,2,130000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,6,1938,2000,PConc,827,1251,Fa,1,119000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1948,2009,BrkTil,1027,1633,Gd,1,129000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1920,1962,BrkTil,1060,1245,TA,1,100000
RM,Pave,Lvl,OldTown,1Fam,1Story,2,1923,1970,BrkTil,832,832,TA,2,12789
RM,Pave,Lvl,OldTown,1Fam,1Story,6,1928,2003,BrkTil,720,720,TA,2,105900
RM,Pave,Lvl,OldTown,1Fam,2Story,8,1900,2003,BrkTil,930,1566,Gd,1,150000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,5,1915,1950,PConc,966,1652,TA,1,139000
RM,Pave,Lvl,OldTown,1Fam,2Story,8,1890,2002,Stone,1157,2268,Gd,2,240000
RM,Pave,Lvl,OldTown,2fmCon,2Story,5,1910,1950,BrkTil,1128,2256,Fa,0,76500
RM,Pave,Lvl,OldTown,1Fam,1Story,6,1957,1996,CBlock,1236,1236,TA,2,149700
RM,Pave,Lvl,OldTown,1Fam,2Story,4,1910,1950,CBlock,741,1363,TA,2,125500
RM,Pave,Lvl,OldTown,2fmCon,2Story,4,1885,1950,PConc,1246,2290,TA,2,122500
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1922,1994,CBlock,868,1470,TA,2,140750
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1950,1997,CBlock,1030,1612,TA,1,128500
RL,Pave,Bnk,BrkSide,1Fam,2.5Unf,7,1922,2005,BrkTil,1160,2068,Gd,1,209500
RM,Pave,Lvl,BrkSide,1Fam,1Story,4,1925,1950,BrkTil,765,765,Gd,1,87000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,6,1939,1950,BrkTil,608,1132,TA,1,134000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,6,1940,1950,CBlock,848,1196,TA,2,128000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1942,1950,CBlock,955,1453,Gd,1,132000
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,6,1948,1950,CBlock,780,1416,TA,1,139900
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1936,1980,CBlock,548,1040,TA,2,123900
RM,Pave,Lvl,BrkSide,1Fam,1.5Fin,5,1930,1950,BrkTil,928,1536,TA,2,138400
RM,Pave,Lvl,OldTown,1Fam,1Story,6,1923,1950,BrkTil,1068,1068,TA,1,109500
RM,Pave,Bnk,OldTown,1Fam,2Story,7,1921,1950,BrkTil,902,1710,TA,2,140000
RM,Pave,Lvl,OldTown,1Fam,1.5Fin,4,1915,1950,CBlock,888,1962,TA,2,149500
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1912,2009,PConc,780,1560,Gd,0,159900
RM,Pave,Lvl,OldTown,1Fam,2Story,6,1920,1993,BrkTil,662,1324,TA,1,122000
RM,Grvl,Bnk,IDOTRR,Duplex,1Story,5,1963,1963,CBlock,816,816,TA,2,110000
RM,Pave,Lvl,IDOTRR,2fmCon,2Story,4,1930,1950,Slab,372,1092,Fa,0,55000
RM,Pave,Lvl,OldTown,2fmCon,2Story,5,1900,1996,BrkTil,1032,1812,Gd,2,140000
RL,Pave,Lvl,ClearCr,1Fam,2Story,7,1940,1950,CBlock,1207,2403,TA,1,244400
RL,Pave,Lvl,ClearCr,1Fam,1Story,5,1959,1959,CBlock,1675,1675,TA,1,173000
RL,Pave,Lvl,ClearCr,1Fam,1.5Fin,5,1917,1950,BrkTil,725,1224,Po,1,107500
RL,Pave,Lvl,SWISU,2fmCon,1.5Fin,5,1915,1950,BrkTil,1212,1392,TA,0,100000
RL,Pave,Bnk,SWISU,1Fam,1.5Fin,6,1940,1950,CBlock,600,919,TA,1,95000
C (all),Pave,Lvl,SWISU,1Fam,2Story,4,1907,1950,CBlock,942,1884,TA,0,93369
RH,Pave,Lvl,SWISU,2fmCon,1.5Fin,5,1910,1950,BrkTil,936,1680,TA,2,114900
RL,Pave,Lvl,Sawyer,1Fam,1.5Fin,5,1875,1996,CBlock,780,1020,TA,0,94000
RL,Pave,Lvl,Sawyer,Duplex,1Story,4,1967,1967,CBlock,1832,1832,TA,0,136000
RL,Pave,Lvl,Sawyer,Duplex,1Story,4,1968,1968,CBlock,1768,1768,TA,0,136500
RL,Pave,Lvl,Sawyer,2fmCon,1Story,5,1965,1965,PConc,1039,1039,TA,2,131500
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1957,1996,CBlock,1392,1392,TA,2,121500
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1967,1967,CBlock,912,912,TA,1,125000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1968,2001,CBlock,1060,1060,Gd,1,154000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1966,2008,CBlock,892,892,Gd,1,137900
RL,Pave,Lvl,Sawyer,1Fam,2Story,6,1969,1969,CBlock,663,1352,TA,1,158000
RL,Pave,Lvl,Sawyer,1Fam,1Story,5,1968,1968,CBlock,864,864,TA,1,137250
RL,Pave,Lvl,Sawyer,Duplex,SFoyer,5,1978,1978,CBlock,1373,1373,TA,2,160250
RL,Pave,Lvl,Sawyer,1Fam,2Story,5,1968,1968,CBlock,720,1440,TA,2,163000
RL,Pave,Lvl,Sawyer,1Fam,2Story,6,1978,1978,CBlock,672,1386,TA,2,158900
RL,Pave,Lvl,ClearCr,1Fam,2Story,7,1996,1997,PConc,1306,2260,Gd,2,328000
RL,Pave,Low,ClearCr,1Fam,1Story,7,1977,2001,CBlock,1483,1483,TA,2,270000
RL,Pave,Lvl,Sawyer,1Fam,1Story,4,1927,1950,BrkTil,756,756,TA,2,85000
RL,Pave,Lvl,Sawyer,1Fam,1Story,4,1950,1995,CBlock,1067,1067,Gd,2,128000
RL,Pave,Low,ClearCr,1Fam,1Story,7,1979,1979,PConc,1332,1524,Gd,2,260000
RL,Pave,Low,ClearCr,1Fam,2Story,6,1978,1992,PConc,1117,1981,Gd,2,230000
RL,Pave,Lvl,Edwards,1Fam,1.5Fin,3,1938,1990,CBlock,1052,1610,Fa,1,124000
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1920,1950,BrkTil,835,835,TA,1,83000
RL,Pave,Lvl,Edwards,1Fam,1Story,6,1950,1987,CBlock,1074,1074,Gd,1,144500
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1956,1956,CBlock,1144,1144,TA,1,129000
RL,Pave,Bnk,Edwards,1Fam,1.5Fin,4,1947,1979,CBlock,1169,1531,TA,1,127000
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1954,1998,CBlock,1172,1172,TA,1,128000
RL,Pave,Lvl,Edwards,1Fam,1Story,6,2009,2009,PConc,1212,1212,Gd,2,186000
RL,Pave,Lvl,Edwards,1Fam,1Story,7,2009,2010,PConc,1508,1508,Gd,2,308030
RL,Pave,Lvl,Edwards,1Fam,1Story,5,1964,1964,CBlock,1298,1298,TA,2,114000
RL,Pave,Low,Edwards,1Fam,1Story,4,1946,2006,CBlock,930,930,Gd,1,84900
RL,Pave,Lvl,SawyerW,1Fam,2Story,6,1985,1985,CBlock,977,1732,Gd,2,178000
RL,Pave,Low,SawyerW,1Fam,1Story,7,1987,1987,CBlock,1433,1433,Gd,2,270000
RL,Pave,Lvl,SawyerW,1Fam,2Story,6,1993,1993,PConc,964,1802,Gd,4,218000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1993,1994,PConc,1062,1949,Gd,2,236000
RL,Pave,Lvl,SawyerW,1Fam,SFoyer,6,1992,1992,PConc,996,996,Gd,2,147000
RL,Pave,Lvl,CollgCr,1Fam,1Story,8,2008,2008,PConc,1694,1694,Gd,3,245350
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2006,2006,PConc,1208,1208,Gd,2,206000
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2009,2009,PConc,1226,1226,Gd,3,198900
RL,Pave,Lvl,CollgCr,1Fam,1Story,7,2010,2010,PConc,1222,1222,Gd,2,187000
RL,Pave,Lvl,SawyerW,1Fam,2Story,7,1990,1990,PConc,1699,3222,Gd,3,320000
RL,Pave,Lvl,SawyerW,1Fam,1.5Fin,6,1900,1993,PConc,831,1445,TA,2,138500
RL,Pave,Lvl,ClearCr,1Fam,SLvl,6,1971,1971,CBlock,1052,1052,TA,2,155000
